"$249,900",3bd,4ba,"3,238 sqft (on 0.29 acres)","8 9th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/8-9th-ave-n-texas-city-tx-77590--2109920405
"$189,000",4bd,2ba,"2,028 sqft","1228 17th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/1228-17th-ave-n-texas-city-tx-77590--1051672679
"$250,000",7bd,3ba,"3,312 sqft (on 0.32 acres)","611 4th St N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/611-4th-st-n-texas-city-tx-77590--2109919392
"$199,000",3bd,2ba,"1,564 sqft","7805 College Ave, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/7805-college-ave-texas-city-tx-77591--2070247692
"$215,000",3bd,2ba,"1,386 sqft","203 Red Oak Ln, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/203-red-oak-ln-texas-city-tx-77591--2070245583
"$159,900",3bd,2ba,"1,168 sqft (on 0.31 acres)","1030 16th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/1030-16th-ave-n-texas-city-tx-77590--2109911068
"$218,000",3bd,2ba,"1,519 sqft","2409 38th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/2409-38th-ave-n-texas-city-tx-77590--2109915682
"$155,000",4bd,7ba,"3,265 sqft","26 9th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/26-9th-ave-n-texas-city-tx-77590--2109916780
"$215,000",4bd,3ba,"1,905 sqft","7520 Carver Ave, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/7520-carver-ave-texas-city-tx-77591--2070247525
"$224,500",3bd,3ba,"1,846 sqft","1706 Crown Ct, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/1706-crown-ct-texas-city-tx-77591--2070245468
"$292,000",3bd,2ba,"2,123 sqft","3327 Voyager Dr, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/3327-voyager-dr-texas-city-tx-77591--2371997942
"$120,000",3bd,1ba,960 sqft,"1207 10th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/1207-10th-ave-n-texas-city-tx-77590--2109911861
"$145,000",3bd,1ba,"1,052 sqft","2217 19th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/2217-19th-ave-n-texas-city-tx-77590--2109914980
"$249,900",4bd,2ba,"2,212 sqft","1909 16th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/1909-16th-ave-n-texas-city-tx-77590--2109913814
"$139,900",3bd,2ba,"1,400 sqft","723 11th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/723-11th-ave-n-texas-city-tx-77590--1150275926
"$145,000",3bd,1ba,838 sqft,"3434 Texas Ave, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/3434-texas-ave-texas-city-tx-77590--2070244730
"$169,000",3bd,2ba,"1,372 sqft","7510 Meadowlark Ln, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/7510-meadowlark-ln-texas-city-tx-77591--2070247495
"$249,000",3bd,2ba,"1,499 sqft","2907 31st Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/2907-31st-ave-n-texas-city-tx-77590--2109917474
"$182,500",3bd,2ba,"1,475 sqft","2533 33rd Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/2533-33rd-ave-n-texas-city-tx-77590--2109916346
"$179,999",4bd,3ba,"2,016 sqft","3106 Babin Dr, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/3106-babin-dr-texas-city-tx-77590--2070244517
"$55,000",3bd,1ba,"1,320 sqft","911 1st Ave S, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/911-1st-ave-s-texas-city-tx-77590--2494261218
"$265,000",4bd,3ba,"2,869 sqft (on 0.91 acres)","329 S Pine Rd, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/329-s-pine-rd-texas-city-tx-77591--2109921696
"$160,000",2bd,1ba,720 sqft,"2314 34th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/2314-34th-ave-n-texas-city-tx-77590--2109915331
"$215,000",3bd,2ba,"1,332 sqft","301 7th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/301-7th-ave-n-texas-city-tx-77590--2109917712
"$220,000",3bd,2ba,"1,603 sqft","8002 Jonquil Dr, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/8002-jonquil-dr-texas-city-tx-77591--2070247893
"$130,000",4bd,2ba,"1,337 sqft","523 Ml King Jr St, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/523-ml-king-jr-st-texas-city-tx-77590--2540915061
"$282,900",4bd,2ba,"2,072 sqft","11126 30th Ave N, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/11126-30th-ave-n-texas-city-tx-77591--1012774526
"$215,000",4bd,3ba,"2,085 sqft","2116 4th St N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/2116-4th-st-n-texas-city-tx-77590--2109914565
"$549,900",3bd,3ba,"2,700 sqft","5125 Allen Cay Dr, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/5125-allen-cay-dr-texas-city-tx-77590--1127279036
"$145,000",3bd,2ba,"1,357 sqft","6217 Diamond Ct, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/6217-diamond-ct-texas-city-tx-77591--2070246726
"$479,900",3bd,3ba,"2,425 sqft","5202 Allen Cay Dr, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/5202-allen-cay-dr-texas-city-tx-77590--2070244980
"$110,000",2bd,2ba,794 sqft,"7600 Emmett F Lowry Expy #306, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/7600-emmett-f-lowry-expy-306-texas-city-tx-77591--2070247578
"$49,900",2bd,1ba,775 sqft,"1303 2nd Ave S, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/1303-2nd-ave-s-texas-city-tx-77590--2109912281
"$200,000",3bd,1ba,"2,314 sqft","217 11th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/217-11th-ave-n-texas-city-tx-77590--1125630852
"$146,999+",3bd,2ba,"1,300 sqft","Texas City/La Marque, Texas City, TX 77591",https://www.trulia.com/builder-community/Texas-City-La-Marque-6000283291/new-home/Plan-1300/4083089868
"$160,000",3bd,2ba,"1,450 sqft (on 0.62 acres)","5912 Mentor Dr, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/5912-mentor-dr-texas-city-tx-77591--2070246540
"$194,999",4bd,2ba,"1,952 sqft","234 20th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/234-20th-ave-n-texas-city-tx-77590--1125799920
"$134,900",3bd,1ba,"1,539 sqft","2604 6th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/2604-6th-ave-n-texas-city-tx-77590--2109916451
"$307,990",4bd,3ba,"2,041 sqft","10919 33rd Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/10919-33rd-ave-n-texas-city-tx-77590--2541792655
"$614,999",3bd,3ba,"2,962 sqft","5509 Brigantine Cay Ct, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/5509-brigantine-cay-ct-texas-city-tx-77590--1002545930
"$199,000",3bd,2ba,"1,685 sqft","2910 Vance Ave, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/2910-vance-ave-texas-city-tx-77590--1004137360
"$299,900",1bd,1ba,"3,296 sqft","818 2nd Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/818-2nd-ave-n-texas-city-tx-77590--2109920291
"$220,000",2bd,2ba,"1,577 sqft","332 8th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/332-8th-ave-n-texas-city-tx-77590--2109918219
"$209,999",4bd,2ba,"1,964 sqft","2401 Camino Ct, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/2401-camino-ct-texas-city-tx-77590--2070243938
"$179,900",3bd,2ba,"1,402 sqft","315 21st Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/315-21st-ave-n-texas-city-tx-77590--2109917982
"$145,000",3bd,1ba,963 sqft (on 0.32 acres),"2626 3rd Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/2626-3rd-ave-n-texas-city-tx-77590--2109916701
"$244,900",3bd,2ba,"1,852 sqft","2802 21st Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/2802-21st-ave-n-texas-city-tx-77590--2109917115
"$229,000",3bd,2ba,"1,659 sqft","9613 Blue Bonnet Dr, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/9613-blue-bonnet-dr-texas-city-tx-77591--2070248621
"$150,000",3bd,2ba,"1,113 sqft","201 18th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/201-18th-ave-n-texas-city-tx-77590--2109914108
"$199,999",3bd,3ba,"1,549 sqft","212 S Westward St, Texas City, TX 77591",https://www.trulia.com/property/9075321885-212-S-Westward-St-Texas-City-TX-77591
"$261,240",3bd,2ba,"1,668 sqft","3526 Fawnwood Dr, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/3526-fawnwood-dr-texas-city-tx-77591--2552782340
"$244,900",3bd,2ba,"1,262 sqft","3110 Ruby Dr, Texas City, TX 77591",https://www.trulia.com/property/9068434575-3110-Ruby-Dr-Texas-City-TX-77591
"$369,900",3bd,3ba,"2,711 sqft (on 0.28 acres)","1104 Mainland Dr, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/1104-mainland-dr-texas-city-tx-77590--2070243574
"$264,525",3bd,3ba,"1,681 sqft","3813 Kirby Ct, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/3813-kirby-ct-texas-city-tx-77591--2535237657
"$339,265",4bd,3ba,"2,757 sqft","10113 Deussen Ln, Texas City, TX 77591",https://www.trulia.com/property/9071905589-10113-Deussen-Ln-Texas-City-TX-77591
"$295,990",4bd,2ba,"1,750 sqft (on 0.32 acres)","3301 Park Place St, Texas City, TX 77591",https://www.trulia.com/property/9069299805-3301-Park-Place-St-Texas-City-TX-77591
"$303,790",4bd,3ba,"2,340 sqft","3625 Conquest Cir, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/3625-conquest-cir-texas-city-tx-77591--2544884381
"$315,990",4bd,3ba,"2,513 sqft","8012 Quartz Ln, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/8012-quartz-ln-texas-city-tx-77591--2497824393
"$100,000",2bd,2ba,"1,008 sqft","325 S Bell Dr, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/325-s-bell-dr-texas-city-tx-77591--2109921670
"$292,900",4bd,2ba,"1,902 sqft","11021 Webber Ln, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/11021-webber-ln-texas-city-tx-77591--2497823836
"$149,999+",3bd,2ba,"1,278 sqft","Texas City/La Marque, Texas City, TX 77591",https://www.trulia.com/builder-community/Texas-City-La-Marque-6000283291/new-home/Plan-1278/4083090476
"$371,865",4bd,4ba,"2,949 sqft","10008 Hermann Trce, Texas City, TX 77591",https://www.trulia.com/property/9070345932-10008-Hermann-Trce-Texas-City-TX-77591
"$199,999",3bd,3ba,"1,549 sqft","6913 Park Ave, Texas City, TX 77591",https://www.trulia.com/property/7113240246-6913-Park-Ave-Texas-City-TX-77591
"$194,500",Studio,2ba,"1,783 sqft (on 0.36 acres)","303 13th St N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/303-13th-st-n-texas-city-tx-77590--2109917763
"$199,000",Studio,2ba,"1,920 sqft","1109 7th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/1109-7th-ave-n-texas-city-tx-77590--2109911343
"$364,690",4bd,4ba,"2,949 sqft","10005 Deussen Ln, Texas City, TX 77591",https://www.trulia.com/property/9069079927-10005-Deussen-Ln-Texas-City-TX-77591
"$189,900+",3bd,2ba,"1,770 sqft","Texas City/La Marque, Texas City, TX 77591",https://www.trulia.com/builder-community/Texas-City-La-Marque-6000283291/new-home/Plan-1770/4083090098
"$110,000",2bd,1ba,838 sqft,"225 19th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/225-19th-ave-n-texas-city-tx-77590--2109915106
"$112,900",2bd,1ba,720 sqft,"112 1st Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/112-1st-ave-n-texas-city-tx-77590--2109911507
"$284,650",4bd,2ba,"2,072 sqft","3520 Voyager Dr, Texas City, TX 77591",https://www.trulia.com/property/9071029177-3520-Voyager-Dr-Texas-City-TX-77591
"$266,900",4bd,2ba,"1,600 sqft","8216 Tourmaline Way, Texas City, TX 77591",https://www.trulia.com/property/9073375540-8216-Tourmaline-Way-Texas-City-TX-77591
"$608,885",3bd,2ba,"2,591 sqft","5214 Allen Cay Dr, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/5214-allen-cay-dr-texas-city-tx-77590--2070244993
"$239,715",3bd,2ba,"1,308 sqft","8615 Havana Dr, Texas City, TX 77591",https://www.trulia.com/property/9070100219-8615-Havana-Dr-Texas-City-TX-77591
"$323,990",4bd,3ba,"2,170 sqft","10925 33rd Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/10925-33rd-ave-n-texas-city-tx-77590--2542445691
"$235,000",3bd,2ba,"1,335 sqft","1425 4th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/1425-4th-ave-n-texas-city-tx-77590--2109912670
"$237,515",3bd,2ba,"1,403 sqft","8716 Havana Dr, Texas City, TX 77591",https://www.trulia.com/property/9069413444-8716-Havana-Dr-Texas-City-TX-77591
"$287,990+",3bd,2ba,"1,688 sqft","Central Park Square, Texas City, TX 77591",https://www.trulia.com/builder-community/Central-Park-Square-6529237427/new-home/Plan-The-Callaghan-830/9068465883
"$279,900+",3bd,2ba,"1,868 sqft","Pearlbrook, Texas City, TX 77591",https://www.trulia.com/builder-community/Pearlbrook-6529261523/new-home/Plan-S-1818/9073753545
"$175,000",3bd,2ba,"2,354 sqft (on 0.27 acres)","6218 Carver Ave, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/6218-carver-ave-texas-city-tx-77591--2070246730
"$268,025",3bd,3ba,"1,681 sqft","3810 Kirby Ct, Texas City, TX 77591",https://www.trulia.com/p/tx/texas-city/3810-kirby-ct-texas-city-tx-77591--2497823827
"$361,990+",4bd,4ba,"2,949 sqft","Central Park Square, Texas City, TX 77591",https://www.trulia.com/builder-community/Central-Park-Square-6529237427/new-home/Plan-The-Kendall-L485/9071905581
"$369,690",5bd,4ba,"2,991 sqft","10004 Deussen Ln, Texas City, TX 77591",https://www.trulia.com/property/9069707059-10004-Deussen-Ln-Texas-City-TX-77591
"$265,990",3bd,2ba,"1,415 sqft","10913 33rd Ave N, Texas City, TX 77590",https://www.trulia.com/property/9070501660-10913-33rd-Ave-N-Texas-City-TX-77590
"$360,990+",5bd,4ba,"2,991 sqft","Central Park Square, Texas City, TX 77591",https://www.trulia.com/builder-community/Central-Park-Square-6529237427/new-home/Plan-The-Kessler-L454/9071736790
"$285,500",3bd,2ba,"1,560 sqft","1817 36th Ave N, Texas City, TX 77590",https://www.trulia.com/p/tx/texas-city/1817-36th-ave-n-texas-city-tx-77590--2109913642
"$313,365",4bd,3ba,"2,067 sqft","10101 Deussen Ln, Texas City, TX 77591",https://www.trulia.com/property/9069079924-10101-Deussen-Ln-Texas-City-TX-77591
"$309,900",4bd,2ba,"2,036 sqft","8228 Tourmaline Way, Texas City, TX 77591",https://www.trulia.com/property/9068434574-8228-Tourmaline-Way-Texas-City-TX-77591
